links,link,title,title_detail,summary,summary_detail,published,published_parsed,id,guidislink
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/donald-trump/article/2018/08/26/prive-de-john-mccain-un-parti-republicain-encore-plus-monocorde_5346281_4853715.html'}, {'type': 'image/jpeg', 'length': '31671', 'href': 'https://s1.lemde.fr/image/2018/08/26/644x322/5346280_3_19a4_2018-08-26-1dab2d1-5217887-01-06_f2746672f7ff4169e1903b5e173f7205.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/donald-trump/article/2018/08/26/prive-de-john-mccain-un-parti-republicain-encore-plus-monocorde_5346281_4853715.html,"Privé de John McCain, un Parti républicain encore plus monocorde","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Privé de John McCain, un Parti républicain encore plus monocorde'}",Le sénateur d’Arizona se posait en opposant au président républicain Donald Trump au sein de son propre camp.,"{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le sénateur d’Arizona se posait en opposant au président républicain Donald Trump au sein de son propre camp.'}","Sun, 26 Aug 2018 06:39:40 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=26, tm_hour=4, tm_min=39, tm_sec=40, tm_wday=6, tm_yday=238, tm_isdst=0)",https://www.lemonde.fr/tiny/5346281/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/26/le-monde-politique-rend-hommage-a-john-mccain_5346276_3382.html'}, {'type': 'image/jpeg', 'length': '18801', 'href': 'https://s1.lemde.fr/image/2018/08/26/644x322/5346275_3_c618_john-mccain-en-2008-dans-l-arizona_2d73af9d23e8f335abffb12a68d307ef.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/26/le-monde-politique-rend-hommage-a-john-mccain_5346276_3382.html,Etats-Unis : le monde politique rend hommage à John McCain,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Etats-Unis : le monde politique rend hommage à John McCain'}","Le sénateur John McCain, considéré comme un héros de la guerre du Vietnam et une figure non-conformiste de la politique américaine, est décédé samedi à l’âge de 81 ans d’un cancer du cerveau contre lequel il luttait depuis un an.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le sénateur John McCain, considéré comme un héros de la guerre du Vietnam et une figure non-conformiste de la politique américaine, est décédé samedi à l’âge de 81 ans d’un cancer du cerveau contre lequel il luttait depuis un an.'}","Sun, 26 Aug 2018 03:39:43 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=26, tm_hour=1, tm_min=39, tm_sec=43, tm_wday=6, tm_yday=238, tm_isdst=0)",https://www.lemonde.fr/tiny/5346276/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/26/le-senateur-americain-john-mccain-est-mort_5346270_3382.html'}, {'type': 'image/jpeg', 'length': '18206', 'href': 'https://s1.lemde.fr/image/2018/08/26/644x322/5346269_3_0611_john-mccain-en-octobre-2008_83a9291ff1ceda005afe91f34269ef59.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/26/le-senateur-americain-john-mccain-est-mort_5346270_3382.html,"Mort de John McCain, sénateur américain devenu l’un des plus farouches opposants à Trump","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de John McCain, sénateur américain devenu l’un des plus farouches opposants à Trump'}","Héros de la guerre du Vietnam, le candidat républicain malheureux à la présidentielle de 2008 était devenu l’un des plus farouches opposants à Donald Trump. Il s’est éteint dans l’Arizona, le samedi 25 août, à l’âge de 81 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Héros de la guerre du Vietnam, le candidat républicain malheureux à la présidentielle de 2008 était devenu l’un des plus farouches opposants à Donald Trump. Il s’est éteint dans l’Arizona, le samedi 25\xa0août, à l’âge de 81\xa0ans.'}","Sun, 26 Aug 2018 03:10:16 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=26, tm_hour=1, tm_min=10, tm_sec=16, tm_wday=6, tm_yday=238, tm_isdst=0)",https://www.lemonde.fr/tiny/5346270/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/24/disparition-de-l-ecrivain-russe-vladimir-charov_5345938_3382.html'}, {'type': 'image/jpeg', 'length': '39709', 'href': 'https://s1.lemde.fr/image/2018/08/24/644x322/5345936_3_990e_l-ecrivain-vladimir-charov-a-moscou-en-2005_7c68a98df03571598331fdabd24555f7.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/24/disparition-de-l-ecrivain-russe-vladimir-charov_5345938_3382.html,Disparition de l’écrivain russe Vladimir Charov,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Disparition de l’écrivain russe Vladimir Charov'}","Le poète et romancier, qui a laissé sa trace sur les jeunes romanciers de son pays, est mort à Moscou le 17 août.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le poète et romancier, qui a laissé sa trace sur les jeunes romanciers de son pays, est mort à Moscou le 17 août.'}","Fri, 24 Aug 2018 18:05:40 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=24, tm_hour=16, tm_min=5, tm_sec=40, tm_wday=4, tm_yday=236, tm_isdst=0)",https://www.lemonde.fr/tiny/5345938/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/24/franck-venaille-prix-goncourt-de-la-poesie-2017-est-mort_5345930_3382.html'}, {'type': 'image/jpeg', 'length': '25829', 'href': 'https://s1.lemde.fr/image/2018/08/24/644x322/5345929_3_9376_le-poete-franck-venaille-en-mai-2017_b3a922d6bc1582f42d23929c4f26382f.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/24/franck-venaille-prix-goncourt-de-la-poesie-2017-est-mort_5345930_3382.html,"Franck Venaille, Prix Goncourt de la poésie 2017, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Franck Venaille, Prix Goncourt de la poésie 2017, est mort'}","Le poète, écrivain et homme de radio, décédé le 23 août, à l’âge de 81 ans, laisse une œuvre aussi puissante que méconnue du grand public.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le poète, écrivain et homme de radio, décédé le 23 août, à l’âge de 81 ans, laisse une œuvre aussi puissante que méconnue du grand public.'}","Fri, 24 Aug 2018 17:43:48 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=24, tm_hour=15, tm_min=43, tm_sec=48, tm_wday=4, tm_yday=236, tm_isdst=0)",https://www.lemonde.fr/tiny/5345930/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/24/mort-de-bui-tin-ancien-officier-de-l-armee-nord-vietnamienne-devenu-dissident_5345850_3382.html'}, {'type': 'image/jpeg', 'length': '28732', 'href': 'https://s1.lemde.fr/image/2018/08/24/644x322/5345848_3_ea38_bui-tin-en-mai-2000_e52a31b3ffe15dcad733ed8ae6cb92c5.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/24/mort-de-bui-tin-ancien-officier-de-l-armee-nord-vietnamienne-devenu-dissident_5345850_3382.html,"Mort de Bui Tin, ancien officier de l’armée nord-vietnamienne, devenu dissident","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Bui Tin, ancien officier de l’armée nord-vietnamienne, devenu dissident'}","Soldat-journaliste, il rejoint très jeune le  Vietminh avant de faire défection, en 1990. Bui Tin, exilé en France depuis 1990, est mort le 11 août, à Montreuil, à l’âge de 90 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Soldat-journaliste, il rejoint très jeune le \xa0Vietminh avant de faire défection, en\xa01990. Bui Tin, exilé en France depuis 1990, est mort le 11 août, à Montreuil, à l’âge de 90\xa0ans.'}","Fri, 24 Aug 2018 15:20:23 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=24, tm_hour=13, tm_min=20, tm_sec=23, tm_wday=4, tm_yday=236, tm_isdst=0)",https://www.lemonde.fr/tiny/5345850/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/23/l-israelien-uri-avnery-grand-combattant-pour-la-paix-est-mort_5345295_3382.html'}, {'type': 'image/jpeg', 'length': '33578', 'href': 'https://s1.lemde.fr/image/2018/08/23/644x322/5345292_3_6623_uri-avnery-en-juillet-2011_2b767b0aa917a761be1dd7353f202411.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/23/l-israelien-uri-avnery-grand-combattant-pour-la-paix-est-mort_5345295_3382.html,"L’Israélien Uri Avnery, grand combattant pour la paix, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’Israélien Uri Avnery, grand combattant pour la paix, est mort'}","Du rêve sioniste, auquel il voulait croire à ses débuts, jusqu’aux dérives nationalistes qu’il n’a cessé de dénoncer, la longue trajectoire de M. Avnery embrasse la destinée de l’Etat hébreu.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Du rêve sioniste, auquel il voulait croire à ses débuts, jusqu’aux dérives nationalistes qu’il n’a cessé de dénoncer, la longue trajectoire de M. Avnery embrasse la destinée de l’Etat hébreu.'}","Thu, 23 Aug 2018 08:51:34 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=23, tm_hour=6, tm_min=51, tm_sec=34, tm_wday=3, tm_yday=235, tm_isdst=0)",https://www.lemonde.fr/tiny/5345295/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/le-jazz-et-la-salsa/article/2018/08/22/jack-costanzo-mr-bongo_5345024_5324427.html'}, {'type': 'image/jpeg', 'length': '29030', 'href': 'https://s1.lemde.fr/image/2018/08/22/644x322/5345023_3_68d2_jack-costanzo-dit-mr-bongo_0b8cbbe5e48431516774e34dd8e66e79.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/le-jazz-et-la-salsa/article/2018/08/22/jack-costanzo-mr-bongo_5345024_5324427.html,"Jack Costanzo, « Mr Bongo »","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jack Costanzo, «\xa0Mr Bongo »'}","Le percussionniste américain Jack Costanzo, célèbre dans les années 1950 sous le pseudonyme de « Mr Bongo », vient de disparaître à l’âge de 98 ans. Le percussionniste et DJ britannique Mark Cotgrove, dit « Snowboy », se souvient.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le percussionniste américain Jack Costanzo, célèbre dans les années 1950 sous le pseudonyme de «\xa0Mr Bongo\xa0», vient de disparaître à l’âge de 98 ans. Le percussionniste et DJ britannique Mark Cotgrove, dit «\xa0Snowboy\xa0», se souvient.'}","Wed, 22 Aug 2018 14:44:47 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=22, tm_hour=12, tm_min=44, tm_sec=47, tm_wday=2, tm_yday=234, tm_isdst=0)",https://www.lemonde.fr/tiny/5345024/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2018/08/22/richard-demarcy-auteur-et-metteur-en-scene-est-mort_5344881_3382.html'}, {'type': 'image/jpeg', 'length': '30321', 'href': 'https://s1.lemde.fr/image/2018/08/23/644x322/5345463_3_d666_l-auteur-et-metteur-en-scene-richard-demarcy-en_a22affd03d2a0d22f77e34a347b89a3f.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/disparitions/article/2018/08/22/richard-demarcy-auteur-et-metteur-en-scene-est-mort_5344881_3382.html,"Richard Demarcy, auteur et metteur en scène, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Richard Demarcy, auteur et metteur en scène, est mort'}","Secrétaire général du Théâtre de la Commune à Aubervilliers (1968-1972), il s’est éteint, le 19 août, à l’âge de 76 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Secrétaire général du Théâtre de la Commune à Aubervilliers (1968-1972), il s’est éteint, le 19 août, à l’âge de 76 ans.'}","Wed, 22 Aug 2018 08:48:24 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=22, tm_hour=6, tm_min=48, tm_sec=24, tm_wday=2, tm_yday=234, tm_isdst=0)",https://www.lemonde.fr/tiny/5344881/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/ameriques/article/2018/08/22/argentine-mort-de-chicha-une-des-fondatrices-des-grands-meres-de-la-place-de-mai_5344746_3222.html'}, {'type': 'image/jpeg', 'length': '43401', 'href': 'https://s1.lemde.fr/image/2018/08/22/644x322/5344745_3_7ed8_maria-isabel-chicha-chorobik-de-mar_7550db5d38031c5569b8ea8138e682c0.jpg', 'rel': 'enclosure'}]",https://www.lemonde.fr/ameriques/article/2018/08/22/argentine-mort-de-chicha-une-des-fondatrices-des-grands-meres-de-la-place-de-mai_5344746_3222.html,"Argentine : mort de « Chicha », une des fondatrices des Grands-mères de la place de Mai","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Argentine\xa0: mort de «\xa0Chicha\xa0», une des fondatrices des Grands-mères de la place de Mai'}","Maria Isabel Chorobik de Mariani s’est éteinte à l’âge de 94 ans, sans avoir pu retrouver sa petite-fille enlevée le 24 novembre 1976 par les militaires argentins.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20180826064608/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Maria Isabel Chorobik de Mariani s’est éteinte à l’âge de 94\xa0ans, sans avoir pu retrouver sa petite-fille enlevée le 24\xa0novembre 1976 par les militaires argentins.'}","Wed, 22 Aug 2018 01:57:37 +0200","time.struct_time(tm_year=2018, tm_mon=8, tm_mday=21, tm_hour=23, tm_min=57, tm_sec=37, tm_wday=1, tm_yday=233, tm_isdst=0)",https://www.lemonde.fr/tiny/5344746/,False
