title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links,media_content,media_credit,credit,content
"Christian Chartier, ancien journaliste au « Monde », est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Christian Chartier, ancien journaliste au «\xa0Monde\xa0», est mort'}","Wed, 03 Feb 2021 12:37:17 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=3, tm_hour=11, tm_min=37, tm_sec=17, tm_wday=2, tm_yday=34, tm_isdst=0)","Pendant cinq ans, il a tenu la correspondance du quotidien du soir aux Pays-Bas avant de prendre le poste de porte-parole du Tribunal pénal international pour l’ex-Yougoslavie. Il est décédé le 26 janvier, à l’âge de 63 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Pendant cinq ans, il a tenu la correspondance du quotidien du soir aux Pays-Bas avant de prendre le poste de porte-parole du Tribunal pénal international pour l’ex-Yougoslavie. Il est décédé le 26\xa0janvier, à l’âge de 63\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/03/christian-chartier-ancien-journaliste-au-monde-est-mort_6068633_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/03/christian-chartier-ancien-journaliste-au-monde-est-mort_6068633_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/03/christian-chartier-ancien-journaliste-au-monde-est-mort_6068633_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/03/484/0/2280/1140/644/322/60/0/f50bc98_214268243-christian-2.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'Archives familiales'}]",Archives familiales,
L’ancien international de rugby Jean-Pierre Bastiat est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’ancien international de rugby Jean-Pierre Bastiat est mort'}","Wed, 03 Feb 2021 11:37:59 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=3, tm_hour=10, tm_min=37, tm_sec=59, tm_wday=2, tm_yday=34, tm_isdst=0)","Evoluant au poste de troisième-ligne centre ou deuxième-ligne, il avait remporté le Grand Chelem avec le XV de France en 1977. Il est mort mercredi à l’âge de 71 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Evoluant au poste de troisième-ligne centre ou deuxième-ligne, il avait remporté le\xa0Grand Chelem avec le XV de France en\xa01977. Il est mort mercredi à\xa0l’âge de\xa071\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/03/l-ancien-international-de-rugby-jean-pierre-bastiat-est-mort_6068627_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/03/l-ancien-international-de-rugby-jean-pierre-bastiat-est-mort_6068627_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/03/l-ancien-international-de-rugby-jean-pierre-bastiat-est-mort_6068627_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/03/530/0/5184/2585/644/322/60/0/f14931a_899462780-000-ms1lk.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'JOËL SAGET/AFP'}]",JOËL SAGET/AFP,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jean-Pierre Bastiat, à Paris, en mars 2017.'}]"
"Mort de Renate Lasker-Harpprecht, rescapée des camps de concentration","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Renate Lasker-Harpprecht, rescapée des camps de concentration'}","Tue, 02 Feb 2021 12:59:44 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=2, tm_hour=11, tm_min=59, tm_sec=44, tm_wday=1, tm_yday=33, tm_isdst=0)","Déportée avec sa sœur Anita en 1944 à Auschwitz-Birkenau puis Bergen-Belsen, se décrivant comme témoin et « éveilleuse de consciences », elle n’a cessé de raconter aux jeunes générations l’horreur qu’elle a vécue dans les camps. Elle est décédée le 3 janvier, à l’âge de 96 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Déportée avec sa sœur Anita en\xa01944 à Auschwitz-Birkenau puis Bergen-Belsen, se décrivant comme témoin et «\xa0éveilleuse de consciences\xa0», elle n’a cessé de raconter aux jeunes générations l’horreur qu’elle a vécue dans les camps. Elle est décédée le 3\xa0janvier, à l’âge de 96\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/02/mort-de-renate-lasker-harpprecht-rescapee-des-camps-de-concentration_6068506_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/02/mort-de-renate-lasker-harpprecht-rescapee-des-camps-de-concentration_6068506_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/02/mort-de-renate-lasker-harpprecht-rescapee-des-camps-de-concentration_6068506_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/01/557/0/1575/784/644/322/60/0/aed9bde_141500213-rea-292274-253.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'Bettina FLITNER / LAIF-REA'}]",Bettina FLITNER / LAIF-REA,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Renate Lasker-Harpprecht, dans le sud de la France, en juin 2018.'}]"
"Le guitariste Hilton Valentine, fondateur du groupe The Animals, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le guitariste Hilton Valentine, fondateur du\xa0groupe The\xa0Animals, est mort'}","Sun, 31 Jan 2021 13:09:39 +0100","time.struct_time(tm_year=2021, tm_mon=1, tm_mday=31, tm_hour=12, tm_min=9, tm_sec=39, tm_wday=6, tm_yday=31, tm_isdst=0)","Le musicien britannique, connu pour la reprise de la chanson « The House of the Rising Sun », est mort vendredi à l’âge de 77 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le musicien britannique, connu pour la reprise de la chanson «\xa0The House of the Rising Sun\xa0», est mort vendredi à l’âge de 77\xa0ans.'}",https://www.lemonde.fr/culture/article/2021/01/31/le-guitariste-hilton-valentine-fondateur-du-groupe-the-animals-est-mort_6068282_3246.html,True,https://www.lemonde.fr/culture/article/2021/01/31/le-guitariste-hilton-valentine-fondateur-du-groupe-the-animals-est-mort_6068282_3246.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/culture/article/2021/01/31/le-guitariste-hilton-valentine-fondateur-du-groupe-the-animals-est-mort_6068282_3246.html'}]","[{'url': 'https://img.lemde.fr/2021/01/31/118/0/2229/1114/644/322/60/0/fd0da51_b50c7edeade948179b04aca68b44ddd3-b50c7edeade948179b04aca68b44ddd3-0.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'VICTOR BOYNTON / AP'}]",VICTOR BOYNTON / AP,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'De gauche à droite, les musiciens du groupe britannique The Animals (Hilton Valentine, Chas Chandler, John Steel, Eric Burdon et Dave Rowberry), qui décollent de Londres pour se rendre à New York, le\xa027\xa0mai\xa01965.'}]"
L’écrivain Michel Le Bris est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’écrivain Michel Le\xa0Bris est mort'}","Sat, 30 Jan 2021 14:04:28 +0100","time.struct_time(tm_year=2021, tm_mon=1, tm_mday=30, tm_hour=13, tm_min=4, tm_sec=28, tm_wday=5, tm_yday=30, tm_isdst=0)","Spécialiste de l’œuvre de Robert Louis Stevenson, créateur du festival Etonnants voyageurs à Saint-Malo, Michel Le Bris est mort, samedi, à l’âge de 76 ans, a annoncé sa famille.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Spécialiste de l’œuvre de Robert Louis Stevenson, créateur du festival Etonnants voyageurs à Saint-Malo, Michel Le Bris est mort, samedi, à l’âge de 76\xa0ans, a annoncé sa famille.'}",https://www.lemonde.fr/disparitions/article/2021/01/30/mort-de-l-ecrivain-michel-le-bris-fondateur-du-festival-etonnants-voyageurs_6068221_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/01/30/mort-de-l-ecrivain-michel-le-bris-fondateur-du-festival-etonnants-voyageurs_6068221_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/01/30/mort-de-l-ecrivain-michel-le-bris-fondateur-du-festival-etonnants-voyageurs_6068221_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/01/30/330/0/3456/1725/644/322/60/0/be9f440_5119873-01-06.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'MEHDI FEDOUACH / AFP'}]",MEHDI FEDOUACH / AFP,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’écrivain Michel Le Bris, à Paris, en 2008.'}]"
"Cicely Tyson, icône de la cause afro-américaine, est morte à 96 ans","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Cicely Tyson, icône de la cause afro-américaine, est morte à 96 ans'}","Fri, 29 Jan 2021 03:49:08 +0100","time.struct_time(tm_year=2021, tm_mon=1, tm_mday=29, tm_hour=2, tm_min=49, tm_sec=8, tm_wday=4, tm_yday=29, tm_isdst=0)","Nommée en 1973 pour « Sounders », l’artiste a reçu un Oscar d’honneur en 2018 célébrant l’ensemble de sa carrière, et le symbole qu’elle représente pour les artistes noirs.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Nommée en\xa01973 pour «\xa0Sounders\xa0», l’artiste a reçu un Oscar d’honneur en\xa02018 célébrant l’ensemble de sa carrière, et le symbole qu’elle représente pour les artistes noirs.'}",https://www.lemonde.fr/disparitions/article/2021/01/29/mort-a-96-ans-de-l-actrice-cicely-tyson-icone-de-la-cause-afro-americaine_6068000_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/01/29/mort-a-96-ans-de-l-actrice-cicely-tyson-icone-de-la-cause-afro-americaine_6068000_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/01/29/mort-a-96-ans-de-l-actrice-cicely-tyson-icone-de-la-cause-afro-americaine_6068000_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/01/29/62/0/2578/1287/644/322/60/0/09d4cdf_fw1-people-cicely-tyson-0129-11.JPG', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'MARIO ANZUONI / REUTERS'}]",MARIO ANZUONI / REUTERS,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Cicely Tyson, en novembre 2018, lors de la remise de son Oscar d’honneur, à Los Angeles.'}]"
"Eva Coutaz, directrice artistique historique d’Harmonia Mundi, est morte","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Eva Coutaz, directrice artistique historique d’Harmonia Mundi, est morte'}","Thu, 28 Jan 2021 14:20:16 +0100","time.struct_time(tm_year=2021, tm_mon=1, tm_mday=28, tm_hour=13, tm_min=20, tm_sec=16, tm_wday=3, tm_yday=28, tm_isdst=0)","Elle a dirigé pendant quarante ans cette maison, fondée en 1958 par son mari, devenue le plus grand label indépendant français. Elle est décédée le 26 janvier, à l’âge de 77 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Elle a dirigé pendant quarante ans cette maison, fondée en\xa01958 par son mari, devenue le plus grand label indépendant français. Elle est décédée le 26\xa0janvier, à l’âge de 77\xa0ans.'}",https://www.lemonde.fr/culture/article/2021/01/28/eva-coutaz-directrice-artistique-historique-d-harmonia-mundi-est-morte_6067945_3246.html,True,https://www.lemonde.fr/culture/article/2021/01/28/eva-coutaz-directrice-artistique-historique-d-harmonia-mundi-est-morte_6067945_3246.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/culture/article/2021/01/28/eva-coutaz-directrice-artistique-historique-d-harmonia-mundi-est-morte_6067945_3246.html'}]","[{'url': 'https://img.lemde.fr/2021/01/28/502/0/2830/1415/644/322/60/0/3c4d5d6_283617966-las0013712.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'Stéphane Lavoué / Pasco'}]",Stéphane Lavoué / Pasco,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Eva Coutaz, ancienne directrice d'Harmonia Mundi.""}]"
"Lars Noren, auteur dramatique suédois, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Lars Noren, auteur dramatique suédois, est mort'}","Wed, 27 Jan 2021 18:31:50 +0100","time.struct_time(tm_year=2021, tm_mon=1, tm_mday=27, tm_hour=17, tm_min=31, tm_sec=50, tm_wday=2, tm_yday=27, tm_isdst=0)","Le dramaturge, disparu le 26 janvier, à l’âge de 76 ans, avait écrit plus de 80 pièces. Très connu en Europe ou aux Etats-Unis, c’est avec la France qu’il avait eu un long compagnonnage.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le dramaturge, disparu le 26\xa0janvier, à l’âge de 76\xa0ans, avait écrit plus de 80 pièces. Très connu en Europe ou aux Etats-Unis, c’est avec la France qu’il avait eu un long compagnonnage.'}",https://www.lemonde.fr/disparitions/article/2021/01/27/lars-noren-auteur-dramatique-suedois-est-mort_6067828_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/01/27/lars-noren-auteur-dramatique-suedois-est-mort_6067828_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/01/27/lars-noren-auteur-dramatique-suedois-est-mort_6067828_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/01/27/340/0/3450/1725/644/322/60/0/4e3802c_834298361-395604.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'CLAUDIO BRESCIANI/AFP'}]",CLAUDIO BRESCIANI/AFP,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le réalisateur et dramaturge suédois Lars Noren à Stockholm, le 6 septembre 2006.'}]"
"Alberto Grimaldi, producteur des westerns spaghetti de Sergio Leone, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Alberto Grimaldi, producteur des westerns spaghetti de Sergio Leone, est mort'}","Wed, 27 Jan 2021 11:49:38 +0100","time.struct_time(tm_year=2021, tm_mon=1, tm_mday=27, tm_hour=10, tm_min=49, tm_sec=38, tm_wday=2, tm_yday=27, tm_isdst=0)","Au carrefour du cinéma italien de l’après-guerre, il a financé aussi bien des films produits à la chaîne qu’une multitude de chefs-d’œuvre de Fellini, Pasolini, Bertolucci. Défenseur acharné de la liberté d’expression, il est décédé le 23 janvier, à l’âge de 95 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Au carrefour du cinéma italien de l’après-guerre, il a financé aussi bien des films produits à la chaîne qu’une multitude de chefs-d’œuvre de Fellini, Pasolini, Bertolucci. Défenseur acharné de la liberté d’expression, il est décédé le 23\xa0janvier, à l’âge de 95\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/01/27/alberto-grimaldi-producteur-des-westerns-spaghetti-de-sergio-leone-est-mort_6067789_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/01/27/alberto-grimaldi-producteur-des-westerns-spaghetti-de-sergio-leone-est-mort_6067789_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/01/27/alberto-grimaldi-producteur-des-westerns-spaghetti-de-sergio-leone-est-mort_6067789_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/01/27/158/0/1654/825/644/322/60/0/4fb722b_706171301-epaphotostwo662902.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'NACHO GALLEGO/EPA'}]",NACHO GALLEGO/EPA,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le producteur italien Alberto Grimaldi pose avec l’Oreille d’Or pour sa carrière récompensée par le Festival International du Film SEMINCI à Valladolid, Castille León, Espagne, 03 novembre 2007.'}]"
"« C’était un précurseur » : nombreux hommages après la mort de Jean-Pierre Michel, l’un des « pères » du pacs","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': '«\xa0C’était un précurseur\xa0»\xa0: nombreux hommages après la mort de Jean-Pierre Michel, l’un des «\xa0pères\xa0» du pacs'}","Tue, 26 Jan 2021 10:43:08 +0100","time.struct_time(tm_year=2021, tm_mon=1, tm_mday=26, tm_hour=9, tm_min=43, tm_sec=8, tm_wday=1, tm_yday=26, tm_isdst=0)","Député puis sénateur socialiste de Haute-Saône, il a mené les batailles pour l’adoption du pacte civil de solidarité puis de la loi sur le mariage pour tous. Engagé dans la lutte pour l’égalité des droits, Jean-Pierre Michel est décédé le 24 janvier, à l’âge de 82 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Député puis sénateur socialiste de Haute-Saône, il a mené les batailles pour l’adoption du pacte civil de solidarité puis de la loi sur le mariage pour tous. Engagé dans la lutte pour l’égalité des droits, Jean-Pierre Michel est décédé le 24\xa0janvier, à l’âge de 82\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/01/26/c-etait-un-precurseur-nombreux-hommages-apres-la-mort-de-jean-pierre-michel-l-un-des-peres-du-pacs_6067637_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/01/26/c-etait-un-precurseur-nombreux-hommages-apres-la-mort-de-jean-pierre-michel-l-un-des-peres-du-pacs_6067637_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/01/26/c-etait-un-precurseur-nombreux-hommages-apres-la-mort-de-jean-pierre-michel-l-un-des-peres-du-pacs_6067637_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/01/26/193/0/1061/529/644/322/60/0/0de96ab_489424700-000-8zg6ud.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'ERIC CABANIS / AFP'}]",ERIC CABANIS / AFP,"[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210204084955/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jean-Pierre Michel, le 3 novembre 1998, à l’Assemblée nationale.'}]"
