title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links,media_content,content,media_credit,credit
"Lawrence Ferlinghetti, poète et éditeur de la Beat generation, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Lawrence Ferlinghetti, poète et éditeur de la Beat generation, est mort'}","Wed, 24 Feb 2021 10:13:31 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=24, tm_hour=9, tm_min=13, tm_sec=31, tm_wday=2, tm_yday=55, tm_isdst=0)","Poète, libraire et éditeur, il fut l’un des personnages-clés de ce mouvement littéraire et artistique né dans les années 1950, même s’il y minimisait son rôle.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Poète, libraire et éditeur, il fut l’un des personnages-clés de ce mouvement littéraire et artistique né dans les années\xa01950, même s’il y minimisait son rôle.'}",https://www.lemonde.fr/culture/article/2021/02/24/lawrence-ferlinghetti-poete-et-editeur-de-la-beat-generation-est-mort_6071023_3246.html,True,https://www.lemonde.fr/culture/article/2021/02/24/lawrence-ferlinghetti-poete-et-editeur-de-la-beat-generation-est-mort_6071023_3246.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/culture/article/2021/02/24/lawrence-ferlinghetti-poete-et-editeur-de-la-beat-generation-est-mort_6071023_3246.html'}]","[{'url': 'https://img.lemde.fr/2021/02/23/293/0/2048/1024/644/322/60/0/0543aea_gdn-people-ferlinghetti-0223-11.JPG', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Lawrence Ferlinghetti\xa0 devant sa librairie de San Francisco, aux Etats-Unis, le 18\xa0août\xa01998.'}]","[{'scheme': 'urn:ebu', 'content': 'STRINGER / REUTERS'}]",STRINGER / REUTERS
"Le musicien Andrea Lo Vecchio, figure de l’âge d’or de la variété italienne, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le musicien Andrea Lo Vecchio, figure de l’âge d’or de la variété italienne, est mort'}","Tue, 23 Feb 2021 18:08:56 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=23, tm_hour=17, tm_min=8, tm_sec=56, tm_wday=1, tm_yday=54, tm_isdst=0)","Auteur-compositeur prolifique, ses chansons pour Raffaella Carra ou Mina ont été le miroir d’une féminité sensuelle et affranchie, dans les années 1970.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Auteur-compositeur prolifique, ses chansons pour Raffaella Carra ou Mina ont été le miroir d’une féminité sensuelle et affranchie, dans les années 1970.'}",https://www.lemonde.fr/disparitions/article/2021/02/23/le-musicien-andrea-lo-vecchio-figure-de-l-age-d-or-de-la-variete-italienne-est-mort_6070960_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/23/le-musicien-andrea-lo-vecchio-figure-de-l-age-d-or-de-la-variete-italienne-est-mort_6070960_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/23/le-musicien-andrea-lo-vecchio-figure-de-l-age-d-or-de-la-variete-italienne-est-mort_6070960_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/23/267/0/1000/499/644/322/60/0/61c8bb9_945950719-raffaella-carra.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Pochette de l’album\xa0« Felicita ta ta » (1974), de Raffaella Carra. Andrea Lo Vecchio signe la moitié des morceaux, dont les plus célèbres\xa0:\xa0«\xa0Rumore\xa0»,\xa0«\xa0Superman\xa0», «\xa0Tabù\xa0»,\xa0«\xa0Si ci sto\xa0»…'}]",,
Le terroriste pro-iranien Anis Naccache est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le terroriste pro-iranien Anis Naccache est mort'}","Tue, 23 Feb 2021 18:04:15 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=23, tm_hour=17, tm_min=4, tm_sec=15, tm_wday=1, tm_yday=54, tm_isdst=0)","Militant politique libanais, il s’était mis au service des islamistes iraniens. En 1980, il avait tenté d’assassiner, à Paris, Chapour Bakhtiar, le dernier premier ministre du chah d’Iran. Il est décédé le 22 février, à l’âge de 70 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Militant politique libanais, il s’était mis au service des islamistes iraniens. En\xa01980, il avait tenté d’assassiner, à Paris, Chapour Bakhtiar, le dernier premier ministre du chah d’Iran. Il est décédé le 22\xa0février, à l’âge de 70\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/23/le-terroriste-pro-iranien-anis-naccache-est-mort_6070959_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/23/le-terroriste-pro-iranien-anis-naccache-est-mort_6070959_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/23/le-terroriste-pro-iranien-anis-naccache-est-mort_6070959_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/23/170/0/2048/1024/644/322/60/0/9e1a052_416499609-2001-10-12t120000z-985152412-rp2driqqtbaa-rtrmadp-3-feature.JPG', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'En 2001.'}]","[{'scheme': 'urn:ebu', 'content': 'REUTERS'}]",REUTERS
"Isabelle Dhordain, l’animatrice du « Pont des artistes », est morte","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Isabelle Dhordain, l’animatrice du «\xa0Pont des artistes\xa0», est morte'}","Tue, 23 Feb 2021 16:10:39 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=23, tm_hour=15, tm_min=10, tm_sec=39, tm_wday=1, tm_yday=54, tm_isdst=0)","Pendant vingt-cinq ans, elle a été l’une des grandes voix de France Inter avec son émission de chansons et de musiques, où artistes reconnus et jeunes talents venaient se produire en direct. Elle est décédée le 20 février, à l’âge de 61 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Pendant vingt-cinq ans, elle a été l’une des grandes voix de France Inter avec son émission de chansons et de musiques, où artistes reconnus et jeunes talents venaient se produire en direct. Elle est décédée le 20\xa0février, à l’âge de 61\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/23/isabelle-dhordain-l-animatrice-du-pont-des-artistes-est-morte_6070947_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/23/isabelle-dhordain-l-animatrice-du-pont-des-artistes-est-morte_6070947_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/23/isabelle-dhordain-l-animatrice-du-pont-des-artistes-est-morte_6070947_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/23/483/18/3249/1624/644/322/60/0/1f9b31f_602295902-sipa-00763574-000009.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Isabelle Dhordain en 2016.'}]","[{'scheme': 'urn:ebu', 'content': 'SADAKA EDMOND/SIPA'}]",SADAKA EDMOND/SIPA
Le journaliste et producteur de radio Claude Carrière est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le journaliste et producteur de radio Claude Carrière est mort'}","Tue, 23 Feb 2021 12:15:44 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=23, tm_hour=11, tm_min=15, tm_sec=44, tm_wday=1, tm_yday=54, tm_isdst=0)","Il a animé, pendant plus de vingt-cinq ans, avec son confrère Jean Delmas, « Jazz Club », une émission de France Musique devenue légendaire. Voix respectée et écoutée, il s’est éteint le 20 février, à l’âge de 81 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Il a animé, pendant plus de vingt-cinq ans, avec son confrère Jean Delmas, «\xa0Jazz Club\xa0», une émission de France Musique devenue légendaire. Voix respectée et écoutée, il s’est éteint le 20\xa0février, à l’âge de 81\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/23/le-journaliste-et-producteur-de-radio-claude-carriere-est-mort_6070925_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/23/le-journaliste-et-producteur-de-radio-claude-carriere-est-mort_6070925_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/23/le-journaliste-et-producteur-de-radio-claude-carriere-est-mort_6070925_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/23/60/0/380/189/644/322/60/0/2c582ce_317924538-600x337-838-838-img-1859.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le journaliste et producteur de radio Claude Carrière.'}]","[{'scheme': 'urn:ebu', 'content': 'CORINNE AMAR/RADIO FRANCE'}]",CORINNE AMAR/RADIO FRANCE
"Jan Sokol, philosophe, dissident et homme politique tchèque, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jan Sokol, philosophe, dissident et homme politique tchèque, est mort'}","Tue, 23 Feb 2021 11:32:13 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=23, tm_hour=10, tm_min=32, tm_sec=13, tm_wday=1, tm_yday=54, tm_isdst=0)","Intellectuel parmi les plus influents de son pays, signataire de la Charte 77 contestant la « normalisation » du pays, professeur à l’université de Prague, il a été candidat malheureux à la présidence en 2003. Il est décédé le 16 février, à l’âge de 84 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Intellectuel parmi les plus influents de son pays, signataire de la Charte 77 contestant la «\xa0normalisation\xa0» du pays, professeur à l’université de Prague, il a été candidat malheureux à la présidence en\xa02003. Il est décédé le 16\xa0février, à l’âge de 84\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/23/jan-sokol-philosophe-dissident-et-homme-politique-tcheque_6070909_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/23/jan-sokol-philosophe-dissident-et-homme-politique-tcheque_6070909_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/23/jan-sokol-philosophe-dissident-et-homme-politique-tcheque_6070909_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/23/1628/0/3212/1606/644/322/60/0/bec483e_182968301-ap-21048373637638.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jan Sokol, philosophe, pédagogue, signataire de la Charte 77, est décédé le 16 février 2021'}]","[{'scheme': 'urn:ebu', 'content': 'VOJTECH VLK / AP'}]",VOJTECH VLK / AP
"Hélène Martin, qui avait chanté les grands poètes, est morte","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Hélène Martin, qui avait chanté les grands poètes, est morte'}","Tue, 23 Feb 2021 09:32:55 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=23, tm_hour=8, tm_min=32, tm_sec=55, tm_wday=1, tm_yday=54, tm_isdst=0)","Autrice, compositrice, interprète, elle fut l’une des premières à mettre en musique les poèmes d’Aragon, de Genet, Neruda, Queneau… Elle s’est éteinte le 21 février, à l’âge de 92 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Autrice, compositrice, interprète, elle fut l’une des premières à mettre en musique les poèmes d’Aragon, de Genet, Neruda, Queneau… Elle s’est éteinte le 21\xa0février, à l’âge de\xa092\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/23/helene-martin-qui-avait-chante-les-grands-poetes-est-morte_6070883_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/23/helene-martin-qui-avait-chante-les-grands-poetes-est-morte_6070883_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/23/helene-martin-qui-avait-chante-les-grands-poetes-est-morte_6070883_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/23/694/0/3264/1629/644/322/60/0/97826cd_740186517-rv-19271-3.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La chanteuse française Hélène Martin, à\xa0Paris, en mai 1961.'}]","[{'scheme': 'urn:ebu', 'content': 'Boris Lipnitzki/Roger-Viollet'}]",Boris Lipnitzki/Roger-Viollet
Le peintre américain James Bishop est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le peintre américain James Bishop est mort'}","Mon, 22 Feb 2021 14:41:16 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=22, tm_hour=13, tm_min=41, tm_sec=16, tm_wday=0, tm_yday=53, tm_isdst=0)","Cet artiste aux productions subtiles et rigoureuses, « moitié architecture, moitié air », a été tôt reconnu en France, où il a fait le principal de sa carrière. Il s’est éteint, mardi 16 février, à l’âge de 93 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Cet artiste aux productions subtiles et rigoureuses, «\xa0moitié architecture, moitié air\xa0», a été tôt reconnu en France, où il a fait le principal de sa carrière. Il s’est éteint, mardi 16\xa0février, à l’âge de 93\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/22/le-peintre-americain-james-bishop-est-mort_6070805_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/22/le-peintre-americain-james-bishop-est-mort_6070805_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/22/le-peintre-americain-james-bishop-est-mort_6070805_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/22/277/0/4064/2032/644/322/60/0/c0ca3f4_982433990-jamesbishop2.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Extrait d’une vidéo montrant l’artiste James Bishop, en septembre 2014, devant l’une de ses œuvres exposée à la galerie\xa0David Zwirner de New York.'}]","[{'scheme': 'urn:ebu', 'content': 'DAVID ZWIRNER GALLERY'}]",DAVID ZWIRNER GALLERY
"Arturo Di Modica, le sculpteur du célèbre « Taureau de Wall Street », est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Arturo Di Modica, le sculpteur du célèbre «\xa0Taureau de Wall Street\xa0», est mort'}","Sun, 21 Feb 2021 16:46:58 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=21, tm_hour=15, tm_min=46, tm_sec=58, tm_wday=6, tm_yday=52, tm_isdst=0)","Agé de 80 ans, l’artiste sicilien luttait contre un cancer depuis des années.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Agé de 80\xa0ans, l’artiste sicilien luttait contre un cancer depuis des années.'}",https://www.lemonde.fr/disparitions/article/2021/02/21/arturo-di-modica-le-sculpteur-du-celebre-taureau-de-wall-street-est-mort_6070725_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/21/arturo-di-modica-le-sculpteur-du-celebre-taureau-de-wall-street-est-mort_6070725_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/21/arturo-di-modica-le-sculpteur-du-celebre-taureau-de-wall-street-est-mort_6070725_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/20/0/0/3599/1799/644/322/60/0/b4d8b3e_4d33dedb6fdd4b66ac7b7cbdaf61b5cb-4d33dedb6fdd4b66ac7b7cbdaf61b5cb-0.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Arturo Di Modica est célèbre avant tout pour son « Taureau de Wall Street ».'}]","[{'scheme': 'urn:ebu', 'content': 'Craig Ruttle / AP'}]",Craig Ruttle / AP
"Jean-Yves Moyart, alias Maître Mô, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jean-Yves Moyart, alias Maître Mô, est mort'}","Sun, 21 Feb 2021 06:26:56 +0100","time.struct_time(tm_year=2021, tm_mon=2, tm_mday=21, tm_hour=5, tm_min=26, tm_sec=56, tm_wday=6, tm_yday=52, tm_isdst=0)","Inscrit au barreau de Lille, l’avocat, qui faisait, sur son blog et dans des textes puissants, le récit de la justice ordinaire, s’est éteint samedi 20 février à l’âge de 53 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Inscrit au barreau de Lille, l’avocat, qui faisait, sur son blog et dans des textes puissants, le récit de la justice ordinaire, s’est éteint samedi 20\xa0février à l’âge de 53\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2021/02/21/jean-yves-moyart-alias-maitre-mo-est-mort_6070699_3382.html,True,https://www.lemonde.fr/disparitions/article/2021/02/21/jean-yves-moyart-alias-maitre-mo-est-mort_6070699_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2021/02/21/jean-yves-moyart-alias-maitre-mo-est-mort_6070699_3382.html'}]","[{'url': 'https://img.lemde.fr/2021/02/21/55/0/4300/2150/644/322/60/0/2acd9b1_643079222-maxnewsworldthree637391.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20210224094017/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Me Jean-Yves Moyart lors du procès aux assises des bandes de Roubaix et Tourcoing, à Douai (Nord), en octobre 2011.'}]","[{'scheme': 'urn:ebu', 'content': 'DOUMSG / PHOTOPQR/VOIX DU NORD'}]",DOUMSG / PHOTOPQR/VOIX DU NORD
