title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links,media_content,media_credit,credit,content
"La mort de Claude Fléouter, journaliste musical, réalisateur et producteur","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort de Claude Fléouter, journaliste musical, réalisateur et producteur'}","Mon, 20 Nov 2023 10:19:26 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=20, tm_hour=9, tm_min=19, tm_sec=26, tm_wday=0, tm_yday=324, tm_isdst=0)","Journaliste au « Monde » durant près de trente ans, fondateur des Victoires de la musique, il est mort le 15 novembre, à Orléans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Journaliste au «\xa0Monde\xa0» durant près de trente ans, fondateur des Victoires de la musique, il est mort le 15\xa0novembre, à Orléans.'}",https://www.lemonde.fr/disparitions/article/2023/11/20/la-mort-de-claude-fleouter-journaliste-musical-realisateur-et-producteur_6201252_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/20/la-mort-de-claude-fleouter-journaliste-musical-realisateur-et-producteur_6201252_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/20/la-mort-de-claude-fleouter-journaliste-musical-realisateur-et-producteur_6201252_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/20/60/0/960/480/644/322/60/0/1e9395f_1700467815271-63e41694199eb9227f2c714a.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'Collection Personelle'}]",Collection Personelle,
"La mort de Rosalynn Carter, épouse du président américain Jimmy Carter et première dame très politique","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort de Rosalynn Carter, épouse du président américain Jimmy Carter et première dame très politique'}","Mon, 20 Nov 2023 04:34:59 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=20, tm_hour=3, tm_min=34, tm_sec=59, tm_wday=0, tm_yday=324, tm_isdst=0)","Le couple était marié depuis 1946. A la Maison Blanche entre 1977 et 1981, elle ne se cantonne pas à un rôle symbolique et joue même un rôle décisif, politique et diplomatique.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le couple était marié depuis 1946. A la Maison Blanche entre 1977 et 1981, elle ne se cantonne pas à un rôle symbolique et joue même un rôle décisif, politique et diplomatique.'}",https://www.lemonde.fr/disparitions/article/2023/11/20/la-mort-de-rosalynn-carter-epouse-du-president-americain-jimmy-carter-et-premiere-dame-tres-politique_6201175_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/20/la-mort-de-rosalynn-carter-epouse-du-president-americain-jimmy-carter-et-premiere-dame-tres-politique_6201175_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/20/la-mort-de-rosalynn-carter-epouse-du-president-americain-jimmy-carter-et-premiere-dame-tres-politique_6201175_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/19/206/0/2469/1234/644/322/60/0/4e3a7fe_674cbce379d34819a1fd8f3820dcb541-0-e609776c53994e5fa26ee18773acfc8b.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'Anonymous / AP'}]",Anonymous / AP,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jimmy Carter et  Rosalynn Carter à la Convention nationale démocratique à New York, le 15 juillet 1976.'}]"
L’autrice britannique A.S. Byatt ne cherchera plus « la juste relation entre les mots et les choses »,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’autrice britannique A.S. Byatt ne cherchera plus «\xa0la juste relation entre les mots et les choses\xa0»'}","Sat, 18 Nov 2023 16:44:44 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=18, tm_hour=15, tm_min=44, tm_sec=44, tm_wday=5, tm_yday=322, tm_isdst=0)","Romancière, poète, essayiste et critique littéraire, la femme de lettres savait mieux que quiconque donner de la chair et de la couleur à tout, y compris aux méandres de la pensée. Elle est morte le 16 novembre, à 87 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Romancière, poète, essayiste et critique littéraire, la femme de lettres savait mieux que quiconque donner de la chair et de la couleur à tout, y compris aux méandres de la pensée. Elle est morte le 16\xa0novembre, à 87\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2023/11/18/l-autrice-britannique-a-s-byatt-ne-cherchera-plus-la-juste-relation-entre-les-mots-et-les-choses_6200969_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/18/l-autrice-britannique-a-s-byatt-ne-cherchera-plus-la-juste-relation-entre-les-mots-et-les-choses_6200969_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/18/l-autrice-britannique-a-s-byatt-ne-cherchera-plus-la-juste-relation-entre-les-mots-et-les-choses_6200969_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/18/328/0/3872/1936/644/322/60/0/577f22f_1700315042224-aurimages-art-histoire-aurimages-0032930-193.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'Ulf Andersen / Aurimages'}]",Ulf Andersen / Aurimages,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’écrivaine anglaise A. S. Byatt, en 2010.'}]"
"Daisaku Ikeda, dirigeant adulé et controversé de l’organisation bouddhiste japonaise Soka Gakkai, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Daisaku Ikeda, dirigeant adulé et controversé de l’organisation bouddhiste japonaise Soka Gakkai, est mort'}","Sat, 18 Nov 2023 14:55:18 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=18, tm_hour=13, tm_min=55, tm_sec=18, tm_wday=5, tm_yday=322, tm_isdst=0)","Il avait doté cette secte bouddhiste, la plus influente du Japon, d’un journal et d’un parti politique, mais lui avait aussi apporté son lot de scandales. Ce pacifiste autoproclamé avait disparu de la vie publique en 2010. Il est mort mercredi 15 novembre, à Tokyo, à l’âge de 95 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Il avait doté cette secte bouddhiste, la plus influente du Japon, d’un journal et d’un parti politique, mais lui avait aussi apporté son lot de scandales. Ce pacifiste autoproclamé avait disparu de la vie publique en\xa02010. Il est mort mercredi 15\xa0novembre, à Tokyo, à l’âge de 95\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2023/11/18/daisaku-ikeda-dirigeant-adule-et-controverse-de-l-organisation-bouddhiste-japonaise-soka-gakkai-est-mort_6200954_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/18/daisaku-ikeda-dirigeant-adule-et-controverse-de-l-organisation-bouddhiste-japonaise-soka-gakkai-est-mort_6200954_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/18/daisaku-ikeda-dirigeant-adule-et-controverse-de-l-organisation-bouddhiste-japonaise-soka-gakkai-est-mort_6200954_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/18/1536/0/5000/2500/644/322/60/0/60b3c53_1700306269048-2023-11-18t111353z-1850906992-mt1yomiur000gaxek8-rtrmadp-3-soka-gakkai-honorary-president-daisaku-ikeda-passes-away.JPG'}]","[{'scheme': 'urn:ebu', 'content': 'Kentaro Aoyama /The Yomiuri Shi'}]",Kentaro Aoyama /The Yomiuri Shi,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Daisaku Ikeda, président honoraire de la Soka Gakkai, lors d’une interview à Shinjuku Ward, Tokyo, le 30 juin 2001.'}]"
"Henri Stambouli, ancien joueur et entraîneur de l’OM, est mort à 62 ans","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Henri Stambouli, ancien joueur et entraîneur de l’OM, est mort à 62\xa0ans'}","Fri, 17 Nov 2023 17:59:35 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=17, tm_hour=16, tm_min=59, tm_sec=35, tm_wday=4, tm_yday=321, tm_isdst=0)","Gardien de but, Henri Stambouli a longtemps porté le maillot de l’AS Monaco avant de rejoindre l’OM. Il y a fini sa carrière de joueur et y avait commencé une longue carrière d’entraîneur.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Gardien de but, Henri Stambouli a longtemps porté le maillot de l’AS Monaco avant de rejoindre l’OM. Il y a fini sa carrière de joueur et y avait commencé une longue carrière d’entraîneur.'}",https://www.lemonde.fr/disparitions/article/2023/11/17/henri-stambouli-ancien-joueur-et-entraineur-de-l-om-est-mort-a-62-ans_6200768_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/17/henri-stambouli-ancien-joueur-et-entraineur-de-l-om-est-mort-a-62-ans_6200768_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/17/henri-stambouli-ancien-joueur-et-entraineur-de-l-om-est-mort-a-62-ans_6200768_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/17/205/0/2100/1050/644/322/60/0/50f7b36_5901035-01-06.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'FRANCOIS NASCIMBENI / AFP'}]",FRANCOIS NASCIMBENI / AFP,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Henri Stambouli (à droite), durant une séance d’entraînement à Bazeilles avec le CS Sedan Ardennes, le 19\xa0juillet\xa02002.'}]"
"Bob De Groot, cocréateur de génie de la BD « Léonard », est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Bob De Groot, cocréateur de génie de la BD «\xa0Léonard\xa0», est mort'}","Fri, 17 Nov 2023 17:56:35 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=17, tm_hour=16, tm_min=56, tm_sec=35, tm_wday=4, tm_yday=321, tm_isdst=0)","Inventeur du personnage burlesque inspiré de Léonard de Vinci, le scénariste belge avait collaboré avec Maurice Tillieux, Greg, ou encore Jean-Marc Reiser. Il est mort, vendredi 17 novembre, à Ottignies (Belgique), à l’âge de 82 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Inventeur du personnage burlesque inspiré de Léonard de Vinci, le scénariste belge avait collaboré avec Maurice Tillieux, Greg, ou encore Jean-Marc Reiser. Il est mort, vendredi 17\xa0novembre, à Ottignies (Belgique), à l’âge de 82\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2023/11/17/la-mort-de-bob-de-groot-cocreateur-de-genie-de-la-bande-dessinee-leonard_6200767_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/17/la-mort-de-bob-de-groot-cocreateur-de-genie-de-la-bande-dessinee-leonard_6200767_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/17/la-mort-de-bob-de-groot-cocreateur-de-genie-de-la-bande-dessinee-leonard_6200767_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/17/97/0/546/273/644/322/60/0/1ebe223_1700236926171-groot4.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'Le Lombard/Patricia Mathieu'}]",Le Lombard/Patricia Mathieu,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Photo non datée de Bob De Groot, avec Raoul, le chat de «\xa0Léonard\xa0».'}]"
Le pianiste français Claude Kahn est mort à l’âge de 88 ans,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le pianiste français Claude Kahn est mort à l’âge de 88\xa0ans'}","Fri, 17 Nov 2023 13:17:57 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=17, tm_hour=12, tm_min=17, tm_sec=57, tm_wday=4, tm_yday=321, tm_isdst=0)","Le musicien, qui comptait plus de 2 000 concerts à son actif dans le monde, est mort dans la nuit de jeudi à vendredi, a fait savoir son entourage.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le musicien, qui comptait plus de 2\xa0000\xa0concerts à son actif dans le monde, est mort dans la nuit de jeudi à vendredi, a fait savoir son entourage.'}",https://www.lemonde.fr/disparitions/article/2023/11/17/le-pianiste-francais-claude-kahn-est-mort-a-l-age-de-88-ans_6200715_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/17/le-pianiste-francais-claude-kahn-est-mort-a-l-age-de-88-ans_6200715_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/17/le-pianiste-francais-claude-kahn-est-mort-a-l-age-de-88-ans_6200715_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/17/918/0/3744/1872/644/322/60/0/b10bca0_1700222060732-000-8rp2jw.jpg'}]","[{'scheme': 'urn:ebu', 'content': '- / AFP'}]",- / AFP,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le pianiste classique français Claude Kahn lors d’une répétition, le 7 février 1974 à Paris.'}]"
"Karl Tremblay, le chanteur québécois des Cowboys fringants, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Karl Tremblay, le chanteur québécois des Cowboys fringants, est mort'}","Thu, 16 Nov 2023 01:02:37 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=16, tm_hour=0, tm_min=2, tm_sec=37, tm_wday=3, tm_yday=320, tm_isdst=0)","L’artiste avait annoncé en 2022 combattre un cancer de la prostate, forçant le groupe à annuler plusieurs concerts ces derniers mois après une dernière tournée à l’été 2023.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’artiste avait annoncé en\xa02022 combattre un cancer de la prostate, forçant le groupe à annuler plusieurs concerts ces derniers mois après une dernière tournée à l’été 2023.'}",https://www.lemonde.fr/culture/article/2023/11/16/mort-de-karl-tremblay-le-chanteur-quebecois-des-cowboys-fringants_6200336_3246.html,True,https://www.lemonde.fr/culture/article/2023/11/16/mort-de-karl-tremblay-le-chanteur-quebecois-des-cowboys-fringants_6200336_3246.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/culture/article/2023/11/16/mort-de-karl-tremblay-le-chanteur-quebecois-des-cowboys-fringants_6200336_3246.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/15/381/0/4571/2285/644/322/60/0/6899b7b_1700092773964-epalivefour197363.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'SALVATORE DI NOLFI / EPA'}]",SALVATORE DI NOLFI / EPA,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Karl Tremblay (au centre) lors d’une performance des Cowboys fringants, à l’occasion de la 44ᵉ\xa0édition du Paléo Festival, à Nyon (Suisse), le 23\xa0juillet\xa02019.'}]"
"La mort de Michel Ciment, « le plus raffiné, le plus érudit, le moins blasé » des critiques de cinéma","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort de Michel Ciment, «\xa0le plus raffiné, le plus érudit, le moins blasé\xa0» des critiques de cinéma'}","Tue, 14 Nov 2023 20:59:32 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=14, tm_hour=19, tm_min=59, tm_sec=32, tm_wday=1, tm_yday=318, tm_isdst=0)","Figure du « Masque et la Plume » sur France Inter, l’ancien directeur de la publication du magazine « Positif » s’est éteint le 13 novembre à l’âge de 85 ans. Le cinéma, qu’il a couvert toute sa vie, était sa grande passion et il s’est imposé comme l’une des références majeures dans ce domaine.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Figure du «\xa0Masque et la Plume\xa0» sur France Inter, l’ancien directeur de la publication du magazine «\xa0Positif\xa0» s’est éteint le 13\xa0novembre à l’âge de 85\xa0ans. Le cinéma, qu’il a couvert toute sa vie, était sa grande passion et il s’est imposé comme l’une des références majeures dans ce domaine.'}",https://www.lemonde.fr/disparitions/article/2023/11/14/la-mort-de-michel-ciment-le-plus-raffine-le-plus-erudit-le-moins-blase-des-critiques-de-cinema_6200090_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/14/la-mort-de-michel-ciment-le-plus-raffine-le-plus-erudit-le-moins-blase-des-critiques-de-cinema_6200090_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/14/la-mort-de-michel-ciment-le-plus-raffine-le-plus-erudit-le-moins-blase-des-critiques-de-cinema_6200090_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/14/309/0/3865/1932/644/322/60/0/6bc2f68_1699971350238-opaleplus-lxa1280-05.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'Philippe MATSAS/Leextra via opale.photo'}]",Philippe MATSAS/Leextra via opale.photo,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Michel Ciment, à Paris, le 9\xa0juin\xa02019.'}]"
"Michel Ciment, critique de cinéma, est mort à l’âge de 85 ans","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Michel Ciment, critique de cinéma, est mort à\xa0l’âge de\xa085\xa0ans'}","Tue, 14 Nov 2023 01:06:18 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=14, tm_hour=0, tm_min=6, tm_sec=18, tm_wday=1, tm_yday=318, tm_isdst=0)","Le directeur de la publication de la revue « Positif » intervenait aussi comme chroniqueur dans l’émission de France Inter « Le Masque et la Plume » depuis plus de cinquante ans. La directrice de la station publique, Adèle Van Reeth, a salué « une référence de la critique de cinéma ».","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le directeur de la publication de la revue «\xa0Positif\xa0» intervenait aussi comme chroniqueur dans l’émission de France Inter «\xa0Le Masque et la Plume\xa0» depuis plus de cinquante ans. La directrice de la station publique, Adèle Van Reeth, a salué «\xa0une référence de la critique de cinéma\xa0».'}",https://www.lemonde.fr/disparitions/article/2023/11/14/le-critique-de-cinema-michel-ciment-est-mort-a-l-age-de-85-ans_6199930_3382.html,True,https://www.lemonde.fr/disparitions/article/2023/11/14/le-critique-de-cinema-michel-ciment-est-mort-a-l-age-de-85-ans_6199930_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2023/11/14/le-critique-de-cinema-michel-ciment-est-mort-a-l-age-de-85-ans_6199930_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2023/11/14/42/0/512/256/644/322/60/0/405a079_1699920234381-000-1go8i9-1.jpg'}]","[{'scheme': 'urn:ebu', 'content': 'LAURENT EMMANUEL / AFP'}]",LAURENT EMMANUEL / AFP,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Michel Ciment lors d’une conférence de presse pour le film «\xa0Une vie cachée\xa0» à la 72ᵉ\xa0édition du Festival de Cannes, le 20 mai 2019.'}]"
