title,title_detail,published,published_parsed,updated,updated_parsed,summary,summary_detail,id,guidislink,link,links,media_content,content,media_credit,credit
"Christophe Deloire, secrétaire général de Reporters sans frontières, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Christophe Deloire, secrétaire général de Reporters sans frontières, est mort'}","Sat, 08 Jun 2024 16:38:03 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=8, tm_hour=14, tm_min=38, tm_sec=3, tm_wday=5, tm_yday=160, tm_isdst=0)","Sun, 09 Jun 2024 00:43:52 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=8, tm_hour=22, tm_min=43, tm_sec=52, tm_wday=5, tm_yday=160, tm_isdst=0)","Le visage de l’ONG de défense de la liberté de la presse s’est éteint, samedi à l’âge de 53 ans, des « suites d’un cancer fulgurant », a annoncé RSF.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le visage de l’ONG de défense de la liberté de la presse s’est éteint, samedi à l’âge de 53\xa0ans, des «\xa0suites d’un cancer fulgurant\xa0», a annoncé RSF.'}",https://www.lemonde.fr/disparitions/article/2024/06/08/christophe-deloire-secretaire-general-de-reporters-sans-frontieres-est-mort_6238081_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/06/08/christophe-deloire-secretaire-general-de-reporters-sans-frontieres-est-mort_6238081_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/06/08/christophe-deloire-secretaire-general-de-reporters-sans-frontieres-est-mort_6238081_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/08/183/0/5143/2571/644/322/60/0/e6da0db_1717852457875-000-33xm4ga.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Christophe Deloire, à Paris, le 6\xa0octobre\xa02023.'}]","[{'scheme': 'urn:ebu', 'content': 'THOMAS SAMSON / AFP'}]",THOMAS SAMSON / AFP
"William Anders, astronaute membre de la mission Apollo 8, est mort à 90 ans dans un accident d’avion","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'William Anders, astronaute membre de la mission Apollo 8, est\xa0mort à 90\xa0ans dans un accident d’avion'}","Sat, 08 Jun 2024 06:55:45 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=8, tm_hour=4, tm_min=55, tm_sec=45, tm_wday=5, tm_yday=160, tm_isdst=0)","Sat, 08 Jun 2024 10:18:06 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=8, tm_hour=8, tm_min=18, tm_sec=6, tm_wday=5, tm_yday=160, tm_isdst=0)","L’Américain est l’auteur de la légendaire photo « Lever de Terre » prise en 1968 et montrant la planète bleue se détachant de l’obscurité, avec la surface lunaire au premier plan.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’Américain est l’auteur de la légendaire photo «\xa0Lever de Terre\xa0» prise en\xa01968\xa0et montrant la planète bleue se détachant de l’obscurité, avec la surface lunaire au premier plan.'}",https://www.lemonde.fr/disparitions/article/2024/06/08/mort-a-90-ans-dans-un-accident-d-avion-de-l-astronaute-william-anders-membre-de-la-mission-apollo-8_6237989_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/06/08/mort-a-90-ans-dans-un-accident-d-avion-de-l-astronaute-william-anders-membre-de-la-mission-apollo-8_6237989_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/06/08/mort-a-90-ans-dans-un-accident-d-avion-de-l-astronaute-william-anders-membre-de-la-mission-apollo-8_6237989_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/08/329/0/1535/767/644/322/60/0/124922f_5715490-01-06.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Portrait officiel fourni par la NASA de l’astronaute américain William Anders, le 9\xa0septembre\xa01967.'}]","[{'scheme': 'urn:ebu', 'content': '- / AFP'}]",- / AFP
La mort de l’écrivain écossais John Burnside,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort de l’écrivain écossais John Burnside'}","Thu, 06 Jun 2024 14:35:26 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=6, tm_hour=12, tm_min=35, tm_sec=26, tm_wday=3, tm_yday=158, tm_isdst=0)",,,"L’auteur de « Scintillation », tour à tour poète, romancier et écrivain de non-fiction, est mort le 29 mai.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’auteur de «\xa0Scintillation\xa0», tour à tour poète, romancier et écrivain de non-fiction, est mort le 29\xa0mai.'}",https://www.lemonde.fr/disparitions/article/2024/06/06/la-mort-de-l-ecrivain-ecossais-john-burnside_6237688_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/06/06/la-mort-de-l-ecrivain-ecossais-john-burnside_6237688_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/06/06/la-mort-de-l-ecrivain-ecossais-john-burnside_6237688_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/05/132/0/3500/1750/644/322/60/0/602cefa_1717597452951-000-1li0ha.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’écrivain écossais John Burnside, au Salon du livre de Francfort, le 17\xa0octobre\xa02019.'}]","[{'scheme': 'urn:ebu', 'content': 'DANIEL ROLAND / AFP'}]",DANIEL ROLAND / AFP
"Eric Hazan, écrivain et éditeur d’extrême gauche, fondateur de la maison La Fabrique, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Eric Hazan, écrivain et éditeur d’extrême gauche, fondateur de la maison La Fabrique, est mort'}","Thu, 06 Jun 2024 11:05:18 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=6, tm_hour=9, tm_min=5, tm_sec=18, tm_wday=3, tm_yday=158, tm_isdst=0)","Thu, 06 Jun 2024 14:43:48 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=6, tm_hour=12, tm_min=43, tm_sec=48, tm_wday=3, tm_yday=158, tm_isdst=0)","Médecin de formation, il avait repris la maison d’édition de son père avant de créer la sienne, La Fabrique, où il publiait des textes très engagés à gauche, en accord avec ses convictions. Il est décédé le 6 juin, à l’âge de 87 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Médecin de formation, il avait repris la maison d’édition de son père avant de créer la sienne, La Fabrique, où il publiait des textes très engagés à gauche, en accord avec ses convictions. Il est décédé le\xa06\xa0juin, à l’âge de 87\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2024/06/06/eric-hazan-ecrivain-et-editeur-d-extreme-gauche-fondateur-de-la-maison-la-fabrique-est-mort_6237657_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/06/06/eric-hazan-ecrivain-et-editeur-d-extreme-gauche-fondateur-de-la-maison-la-fabrique-est-mort_6237657_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/06/06/eric-hazan-ecrivain-et-editeur-d-extreme-gauche-fondateur-de-la-maison-la-fabrique-est-mort_6237657_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/06/459/0/5508/2754/644/322/60/0/d711821_1717662602106-mahka-eslami-portrait-eric-hazan-3-sur-11.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Eric Hazan, écrivain et éditeur, chez lui à Paris le 3 avril 2021.'}]","[{'scheme': 'urn:ebu', 'content': 'Mahka Eslami pour «\xa0Le Monde\xa0»'}]",Mahka Eslami pour « Le Monde »
"Mort de Ben, artiste populaire, à l’esprit libre et aux mots percutants","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Ben, artiste populaire, à l’esprit libre et aux mots percutants'}","Thu, 06 Jun 2024 06:34:00 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=6, tm_hour=4, tm_min=34, tm_sec=0, tm_wday=3, tm_yday=158, tm_isdst=0)","Thu, 06 Jun 2024 09:20:13 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=6, tm_hour=7, tm_min=20, tm_sec=13, tm_wday=3, tm_yday=158, tm_isdst=0)","L’artiste français, Benjamin Vautier de son vrai nom, était devenu populaire grâce à ses « écritures », des aphorismes à la graphie ronde. Il s’est suicidé à 88 ans quelques heures après le décès de son épouse, Annie, à la suite d’un AVC.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’artiste français, Benjamin Vautier de son vrai nom, était devenu populaire grâce à ses «\xa0écritures\xa0», des aphorismes à la graphie ronde. Il s’est suicidé à 88\xa0ans quelques heures après le décès de son épouse, Annie, à la suite d’un AVC.'}",https://www.lemonde.fr/disparitions/article/2024/06/06/mort-de-ben-artiste-populaire-esprit-libre-et-mots-percutants_6237607_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/06/06/mort-de-ben-artiste-populaire-esprit-libre-et-mots-percutants_6237607_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/06/06/mort-de-ben-artiste-populaire-esprit-libre-et-mots-percutants_6237607_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/06/169/0/2625/1312/644/322/60/0/2c67d18_1717646106370-dea0103283.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’artiste français Benjamin Vautier, dit Ben, à Paris, en 2016.'}]","[{'scheme': 'urn:ebu', 'content': 'AUDOIN DESFORGES/PASCO&CO'}]",AUDOIN DESFORGES/PASCO&CO
"Le général birman Tin Oo, compagnon de lutte d’Aung San Suu Kyi, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le général birman Tin Oo, compagnon de lutte d’Aung San Suu Kyi, est mort'}","Wed, 05 Jun 2024 17:00:03 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=5, tm_hour=15, tm_min=0, tm_sec=3, tm_wday=2, tm_yday=157, tm_isdst=0)",,,"L’ancien militaire, cofondateur de la Ligue nationale pour la démocratie et prisonnier politique à plusieurs reprises, est mort le 1er juin, à 97 ans","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’ancien militaire, cofondateur de la Ligue nationale pour la démocratie et prisonnier politique à plusieurs reprises, est mort le 1er\xa0juin, à 97\xa0ans'}",https://www.lemonde.fr/disparitions/article/2024/06/05/le-general-birman-tin-oo-compagnon-de-lutte-d-aung-san-suu-kyi-est-mort_6237488_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/06/05/le-general-birman-tin-oo-compagnon-de-lutte-d-aung-san-suu-kyi-est-mort_6237488_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/06/05/le-general-birman-tin-oo-compagnon-de-lutte-d-aung-san-suu-kyi-est-mort_6237488_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/05/100/0/2535/1267/644/322/60/0/1a23c3e_1717584821370-403250.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Tin Oo chez lui, à Rangoun, en Birmanie, le 13\xa0février 2010.'}]","[{'scheme': 'urn:ebu', 'content': 'Khin Maung Win / AP'}]",Khin Maung Win / AP
"Ben, artiste de l’écriture, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Ben, artiste de l’écriture, est mort'}","Wed, 05 Jun 2024 11:49:22 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=5, tm_hour=9, tm_min=49, tm_sec=22, tm_wday=2, tm_yday=157, tm_isdst=0)","Thu, 06 Jun 2024 03:36:29 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=6, tm_hour=1, tm_min=36, tm_sec=29, tm_wday=3, tm_yday=158, tm_isdst=0)","L’artiste Benjamin Vautier, dit « Ben », a été retrouvé mort à son domicile de Nice, peu après la disparition soudaine de son épouse. Il était âgé de 88 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’artiste Benjamin Vautier, dit «\xa0Ben\xa0», a été retrouvé mort à son domicile de Nice, peu après la disparition soudaine de son épouse. Il était âgé de\xa088\xa0ans.'}",https://www.lemonde.fr/culture/article/2024/06/05/ben-artiste-de-l-ecriture-est-mort_6237446_3246.html,True,https://www.lemonde.fr/culture/article/2024/06/05/ben-artiste-de-l-ecriture-est-mort_6237446_3246.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/culture/article/2024/06/05/ben-artiste-de-l-ecriture-est-mort_6237446_3246.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/05/103/0/828/414/644/322/60/0/985c8e5_1717581992036-ben-vautier.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’artiste français Benjamin Vautier, également connu sous le nom de «\xa0Ben\xa0», dans son atelier de Nice, en 2016.'}]","[{'scheme': 'urn:ebu', 'content': 'Gil Zetbase / CREATIVE COMMONS'}]",Gil Zetbase / CREATIVE COMMONS
Le cinéaste et écrivain argentin Edgardo Cozarinsky est mort,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le cinéaste et écrivain argentin Edgardo Cozarinsky est mort'}","Tue, 04 Jun 2024 17:38:10 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=4, tm_hour=15, tm_min=38, tm_sec=10, tm_wday=1, tm_yday=156, tm_isdst=0)","Wed, 05 Jun 2024 12:46:31 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=5, tm_hour=10, tm_min=46, tm_sec=31, tm_wday=2, tm_yday=157, tm_isdst=0)","Cet intellectuel argentin venu en France dans les années 1970, à la longue production littéraire et cinématographique, est mort le 2 juin, à 85 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Cet intellectuel argentin venu en France dans les années 1970, à la longue production littéraire et cinématographique, est mort le 2\xa0juin, à 85\xa0ans.'}",https://www.lemonde.fr/culture/article/2024/06/04/le-cineaste-et-ecrivain-argentin-edgardo-cozarinsky-est-mort_6237281_3246.html,True,https://www.lemonde.fr/culture/article/2024/06/04/le-cineaste-et-ecrivain-argentin-edgardo-cozarinsky-est-mort_6237281_3246.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/culture/article/2024/06/04/le-cineaste-et-ecrivain-argentin-edgardo-cozarinsky-est-mort_6237281_3246.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/04/936/0/5616/2808/644/322/60/0/7ee36c7_1717514991638-bal-4950438.JPG'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Edgardo Cozarinsky, le 22\xa0novembre 2015.'}]","[{'scheme': 'urn:ebu', 'content': 'SOPHIE BASSOULS/BRIDGEMAN IMAGES'}]",SOPHIE BASSOULS/BRIDGEMAN IMAGES
"Colette Escoffier-Martini, héroïne discrète de la France libre, est morte","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Colette Escoffier-Martini, héroïne discrète de la France libre, est morte'}","Mon, 03 Jun 2024 18:00:14 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=3, tm_hour=16, tm_min=0, tm_sec=14, tm_wday=0, tm_yday=155, tm_isdst=0)","Mon, 03 Jun 2024 19:13:33 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=3, tm_hour=17, tm_min=13, tm_sec=33, tm_wday=0, tm_yday=155, tm_isdst=0)","Engagée en 1943 dans le corps féminin des transmissions (les « Merlinettes ») puis démobilisée sans ménagements après-guerre, la résistante, âgée de 101 ans, est morte le 26 mai.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Engagée en\xa01943 dans le corps féminin des transmissions (les «\xa0Merlinettes\xa0») puis démobilisée sans ménagements après-guerre, la résistante, âgée de 101\xa0ans, est morte le 26\xa0mai.'}",https://www.lemonde.fr/disparitions/article/2024/06/03/colette-escoffier-martini-heroine-discrete-de-la-france-libre-est-morte_6237120_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/06/03/colette-escoffier-martini-heroine-discrete-de-la-france-libre-est-morte_6237120_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/06/03/colette-escoffier-martini-heroine-discrete-de-la-france-libre-est-morte_6237120_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/06/03/798/12/3491/1746/644/322/60/0/60b9f5c_1717421835610-hd-merlinette-pour-m-magazine-a-bdva-1.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Colette Escoffier-Martini, à Aix-en-Provence (Bouches-du-Rhône), le 13\xa0février\xa02021.'}]","[{'scheme': 'urn:ebu', 'content': 'Baptiste de Ville d’Avray pour «\xa0M le magazine du Monde\xa0»'}]",Baptiste de Ville d’Avray pour « M le magazine du Monde »
"Nora Cortiñas, « mère de toutes les batailles » en Argentine, est morte","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Nora Cortiñas, «\xa0mère de toutes les batailles\xa0» en Argentine, est morte'}","Sun, 02 Jun 2024 07:35:12 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=2, tm_hour=5, tm_min=35, tm_sec=12, tm_wday=6, tm_yday=154, tm_isdst=0)","Mon, 03 Jun 2024 17:06:43 +0200","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=3, tm_hour=15, tm_min=6, tm_sec=43, tm_wday=0, tm_yday=155, tm_isdst=0)","Figure emblématique des Mères de la place de Mai, dont elle a été l’une des fondatrices, « Norita » Cortiñas, infatigable combattante pour les droits humains et la justice sociale, s’est éteinte. Elle avait 94 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Figure emblématique des Mères de la place de Mai, dont elle a été\xa0l’une des fondatrices, «\xa0Norita\xa0» Cortiñas, infatigable combattante pour les droits humains et la justice sociale, s’est éteinte. Elle avait 94\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2024/06/02/nora-cortinas-mere-de-toutes-les-batailles-en-argentine-est-morte_6236893_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/06/02/nora-cortinas-mere-de-toutes-les-batailles-en-argentine-est-morte_6236893_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/06/02/nora-cortinas-mere-de-toutes-les-batailles-en-argentine-est-morte_6236893_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/05/30/703/0/8438/4219/644/322/60/0/73521f0_5cfc3632dd0d42e4ac8d1696f1c7f331-0-79d15fc90c81493e879484eca9e45353.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Nora Cortiñas prend la pose en arborant le portrait de son fils disparu Gustavo, le 29\xa0janvier 2024, près de Buenos Aires.'}]","[{'scheme': 'urn:ebu', 'content': 'Natacha Pisarenko / AP'}]",Natacha Pisarenko / AP
